stop_id,stop_name,stop_lat,stop_lon,zone
7315,RUMAH TUN MAHATHIR,6.113686,100.362992,
7316,SK SUNGAI KOROK LAMA,6.108678,100.361728,
7317,SK JALAN PEGAWAI,6.103319,100.361406,
7318,MAKTAB MAHMUD,6.102567,100.361322,
7319,MAKTAB MAHMUD 2,6.098703,100.360628,
7320,AGROBAZAAR JLN GUNUNG PERAK,6.095036,100.354706,
7321,BHP TAMAN GUNUNG PERAK,6.090853,100.356064,
7322,SK HAJI HASSAN ITAM,6.021608,100.382839,
7323,SMA IHYA UL ULUM AD DINIAH,6.018197,100.384061,
7324,MASJID AT TAQWA,6.011483,100.386422,
7325,SK BULUH LIMA,5.988111,100.394778,
7326,PUSAT PERNIAGAAN KOTA JAYA / KOTA SARANG SEMUT,5.975483,100.399383,
7327,SJK(C) MIN SIN,5.974022,100.402514,
7328,JALAN PENDANG TANAH MERAH,5.972792,100.410403,
7329,SK BUKIT CHORAS,5.970589,100.419819,
7330,PEKAN KOBAH,5.970194,100.435958,
7331,SIMPANG KTM KOBAH,5.971389,100.441475,
7332,CALTEX PENDANG,5.9779,100.450575,
7333,SIMPANG BUKIT RAYA,5.980253,100.454614,
7334,TAMAN GEMILANG 2,5.985969,100.464947,
7335,JABATAN PENDAFTARAN NEGARA  PENDANG,5.988669,100.469892,
7336,SMK PENDANG,5.9906,100.473411,
7337,SJK(C) YENG CHENG,5.991325,100.474747,
7338,PERHENTIAN BAS KOTA SARANG SEMUT,5.97285,100.400378,
7339,TAMAN MADU LEBAH / SK BUKIT BESAR,5.953761,100.407631,
7340,SMA NAHDZAH,5.951881,100.408356,
7341,KG TUALANG,5.945167,100.410842,
7342,SIMPANG TIGA SG DAUN,5.934819,100.414811,
7343,SK SIMPANG TIGA SG DAUN,5.929253,100.418117,
7344,KLINIK DESA SIMPANG TIGA,5.916642,100.425783,
7345,PONDOK POLIS SG LIMA LUAR,5.913361,100.427772,
7346,SK PADANG LUMAT,5.906864,100.431692,
7347,MASJID UBUDIAH,5.905064,100.432761,
7348,SMA TAUFIKIAH KHAIRIYAH AL HALIMIAH,5.899736,100.435989,
7349,SJK(C) PEI HWA,5.884708,100.444647,
7350,TAMAN CEMPEDAK INDAH,5.8759,100.449581,
7351,SMK GUAR CEMPEDAK,5.866044,100.454233,
7352,SMK GUAR CHEMPEDAK 2,5.862878,100.455317,
7353,SK GUAR CHEMPEDAK,5.859539,100.456639,
7354,HOSPITAL ALOR SETAR 1,6.142819,100.370392,
7355,BALAI POLIS GUAR CHEMPEDAK / PEKAN GUAR CHEMPEDAK,5.857611,100.457494,
7356,KLINIK KESIHATAN GUAR CHEMPEDAK,5.853486,100.459542,
7357,BOMBA GUAR CEMPEDAK,5.852153,100.460319,
7358,GUNUNG JERAI,5.843578,100.466836,
7359,JERAI BESTARI,5.833525,100.473233,
7360,MASJID GURUN,5.826406,100.475497,
7361,SK GURUN PUSAT,5.822,100.476786,
7362,KLINIK KOMINITI GURUN,5.819661,100.477503,
7363,PEKAN GURUN,5.817483,100.477736,
7364,TAMAN SURIA GURUN,5.811344,100.478267,
7365,KG BARU GURUN,5.808103,100.478675,
7366,SK SRI JERAI,5.804614,100.479194,
7367,SMK GURUN,5.801864,100.4796,
7368,SMA PEKAN GURUN,5.798108,100.480158,
7369,KOMPLEKS SUKAN 1,6.137972,100.370094,
7370,TAMAN GURUN HARMONI,5.793758,100.481008,
7371,TAMAN MURNI,5.791064,100.481569,
7372,TAMAN LEMBAH JERAI,5.787333,100.483244,
7373,PERUMAHAN PERWAJA,5.773292,100.497703,
7374,THE CLOVE MONT RESORT,5.762228,100.499708,
7375,SJK(T) TOH PAWANG,5.752431,100.504206,
7376,SG TOK PAWANG,5.756728,100.502075,
7377,PEKAN BIDONG / TAMAN SELESA,5.743728,100.507169,
7378,PEKAN BEDONG,5.728736,100.513028,
7379,SK SERI AMAN,5.727242,100.513675,
7380,PERMAIPURA,5.722686,100.515536,
7381,TAMAN DESA BUDIMAN,5.715919,100.518081,
7382,PETRON SG LALANG,5.709058,100.520772,
7383,PEKAN SG LALANG,5.702031,100.519853,
7384,PEKAN SG LALANG 2,5.699378,100.517483,
7385,MASJID AL-MAKMUR SG LALANG,5.695981,100.514761,
7386,BUKIT MAKMUR,5.691522,100.511414,
7387,SUNGAI TUKANG,5.685733,100.509567,
7388,C MART SG PETANI,5.678158,100.5081,
7389,TAMAN RIA,5.667967,100.505853,
7390,LOTUS SG PETANI,5.660844,100.502544,
