route_id,service_id,trip_id,shape_id,direction_id
N60A,Bas.my,R1705032_T15,R1705032,0
N60A,Bas.my,R1705032_T16,R1705032,0
N60A,Bas.my,R1705032_T17,R1705032,0
N60A,Bas.my,R1705033_T1,R1705033,1
N60A,Bas.my,R1705033_T2,R1705033,1
N60A,Bas.my,R1705033_T3,R1705033,1
N60A,Bas.my,R1705033_T4,R1705033,1
N60A,Bas.my,R1705033_T5,R1705033,1
N60A,Bas.my,R1705033_T6,R1705033,1
N60A,Bas.my,R1705033_T7,R1705033,1
N60A,Bas.my,R1705033_T8,R1705033,1
N60A,Bas.my,R1705033_T9,R1705033,1
N60A,Bas.my,R1705033_T10,R1705033,1
N60A,Bas.my,R1705033_T11,R1705033,1
N60A,Bas.my,R1705033_T12,R1705033,1
N60A,Bas.my,R1705033_T13,R1705033,1
N60A,Bas.my,R1705033_T14,R1705033,1
N60A,Bas.my,R1705033_T15,R1705033,1
N60A,Bas.my,R1705033_T16,R1705033,1
N54,Bas.my,R1705040_T1,R1705040,1
N54,Bas.my,R1705040_T2,R1705040,1
N54,Bas.my,R1705040_T3,R1705040,1
N54,Bas.my,R1705040_T4,R1705040,1
N54,Bas.my,R1705040_T5,R1705040,1
N54,Bas.my,R1705040_T6,R1705040,1
N54,Bas.my,R1705040_T7,R1705040,1
N54,Bas.my,R1705040_T8,R1705040,1
N54,Bas.my,R1705040_T9,R1705040,1
N54,Bas.my,R1705040_T10,R1705040,1
N54,Bas.my,R1705040_T11,R1705040,1
N54,Bas.my,R1705040_T12,R1705040,1
N54,Bas.my,R1705040_T13,R1705040,1
N54,Bas.my,R1705040_T14,R1705040,1
N54,Bas.my,R1705040_T15,R1705040,1
N54,Bas.my,R1705040_T16,R1705040,1
N54,Bas.my,R1705040_T17,R1705040,1
N54,Bas.my,R1705040_T18,R1705040,1
N54,Bas.my,R1705040_T19,R1705040,1
N54,Bas.my,R1705040_T20,R1705040,1
N54,Bas.my,R1705040_T21,R1705040,1
N54,Bas.my,R1705040_T22,R1705040,1
N54,Bas.my,R1705040_T23,R1705040,1
N54,Bas.my,R1705040_T24,R1705040,1
N54,Bas.my,R1705040_T25,R1705040,1
N60B,Bas.my,R1705042_T1,R1705042,0
N60B,Bas.my,R1705042_T2,R1705042,0
N60B,Bas.my,R1705042_T3,R1705042,0
N60B,Bas.my,R1705042_T4,R1705042,0
N60B,Bas.my,R1705042_T5,R1705042,0
N60B,Bas.my,R1705042_T6,R1705042,0
N60B,Bas.my,R1705042_T7,R1705042,0
N60B,Bas.my,R1705042_T8,R1705042,0
N60B,Bas.my,R1705042_T9,R1705042,0
N60B,Bas.my,R1705042_T10,R1705042,0
N60B,Bas.my,R1705042_T11,R1705042,0
N60B,Bas.my,R1705042_T12,R1705042,0
N60B,Bas.my,R1705042_T13,R1705042,0
N60B,Bas.my,R1705042_T14,R1705042,0
N60B,Bas.my,R1705042_T15,R1705042,0
N60B,Bas.my,R1705042_T16,R1705042,0
N60B,Bas.my,R1705042_T17,R1705042,0
N60B,Bas.my,R1705043_T1,R1705043,1
N60B,Bas.my,R1705043_T2,R1705043,1
