stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
SKSKFP2_F101B,F101B,SK SERI KEPAYANG FAIR PARK 2,4.60686121,101.09452307,
SKSKFP2_F101BR,F101BR,SK SERI KEPAYANG FAIR PARK 2,4.60686121,101.09452307,
SKSTIA_T31B,T31B,SK SETIA JAYA,4.83805619,100.98365576,
SKSTIA_T31BR,T31BR,SK SETIA JAYA,4.83805619,100.98365576,
SKSTIA_T31A,T31A,SK SETIA JAYA,4.83805619,100.98365577,
SKSTIA_T31AR,T31AR,SK SETIA JAYA,4.83805619,100.98365576,
SKSTMIC_F100,F100,SK ST MICHAEL,4.60124139,101.07871950,
SKSTMIC_F100R,F100R,SK ST MICHAEL,4.60124139,101.07871949,
SKTD_F101B,F101B,SK TASEK DERMAWAN,4.64010327,101.12292230,
SKTD_F101BR,F101BR,SK TASEK DERMAWAN,4.64010327,101.12292230,
SKTD_F101A,F101A,SK TASEK DERMAWAN,4.64010327,101.12292230,
SKTD_F101AR,F101AR,SK TASEK DERMAWAN,4.64010327,101.12292230,
SKTGRMTN_T33B,T33B,SK TANJONG RAMBUTAN,4.66697595,101.15659475,
SKTGRMTN_T33BR,T33BR,SK TANJONG RAMBUTAN,4.66697595,101.15659475,
SKTGRMTN_T33A,T33A,SK TANJONG RAMBUTAN,4.66697595,101.15659475,
SKTGRMTN_T33AR,T33AR,SK TANJONG RAMBUTAN,4.66697595,101.15659475,
SKTGRMTN_T32,T32,SK TANJONG RAMBUTAN,4.66697595,101.15659475,
SKTGRMTN_T32R,T32R,SK TANJONG RAMBUTAN,4.66697595,101.15659475,
SKTMJI_T33B,T33B,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T33BR,T33BR,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T35,T35,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T31A,T31A,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452969,
SKTMJI_T31AR,T31AR,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_F100,F100,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_F100R,F100R,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T35R,T35R,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_F101A,F101A,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_F101AR,F101AR,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_F101B,F101B,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_F101BR,F101BR,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_F103,F103,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_F103R,F103R,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T37,T37,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T37R,T37R,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T33A,T33A,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T33AR,T33AR,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T32,T32,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SKTMJI_T32R,T32R,STESEN KTM IPOH JALAN SULTAN ISKANDAR,4.59593283,101.07452968,
SLEI_T36,T36,SLEI,4.54584299,101.04164600,
SLEI_T36R,T36R,SLEI,4.54584299,101.04164600,
SLKB2_T31BR,T31BR,SALAK BARU 2,4.84065204,100.99229875,
SLKB2_T31B,T31B,SALAK BARU 2,4.84065204,100.99229875,
SLKB2_T31AR,T31AR,SALAK BARU 2,4.84065204,100.99229875,
SLKB2_T31A,T31A,SALAK BARU 2,4.84065204,100.99229876,
SMGR_T37R,T37R,SM GUNUNG RAPAT,4.57186901,101.13307714,
SMGR_T37,T37,SM GUNUNG RAPAT,4.57186901,101.13307714,
SMJKPRMPNP_T37,T37,SMJK PEREMPUAN PERAK,4.58300210,101.09628797,
SMJKPRMPNP_T37R,T37R,SMJK PEREMPUAN PERAK,4.58300210,101.09628796,
SMJKPRMPNP_T34,T34,SMJK PEREMPUAN PERAK,4.58300210,101.09628796,
SMJKPRMPNP_T34R,T34R,SMJK PEREMPUAN PERAK,4.58300210,101.09628796,
SMJKSC_T31BR,T31BR,SMJK SHIN CHUNG,4.81104096,101.08643104,
SMJKSC_T31B,T31B,SMJK SHIN CHUNG,4.81104096,101.08643104,
SMJKSC_T31AR,T31AR,SMJK SHIN CHUNG,4.81104096,101.08643104,
SMJKSC_T31A,T31A,SMJK SHIN CHUNG,4.81104096,101.08643104,
SMKA_F101B,F101B,SMK ANDERSON,4.60420905,101.08826279,
SMKA_F101AR,F101AR,SMK ANDERSON,4.60420905,101.08826279,
SMKA_F101BR,F101BR,SMK ANDERSON,4.60420905,101.08826279,
SMKA_F103,F103,SMK ANDERSON,4.60420905,101.08826279,
SMKA_F103R,F103R,SMK ANDERSON,4.60420905,101.08826279,
SMKA_F100,F100,SMK ANDERSON,4.60420905,101.08826280,
SMKA_F100R,F100R,SMK ANDERSON,4.60420905,101.08826279,
SMKA_F101A,F101A,SMK ANDERSON,4.60420905,101.08826279,
SMKA2_F101A,F101A,SMK ANDERSON 2,4.60420905,101.08826280,
SMKA2_F101AR,F101AR,SMK ANDERSON 2,4.60420905,101.08826280,
SMKA2_F101B,F101B,SMK ANDERSON 2,4.60420905,101.08826280,
SMKA2_F101BR,F101BR,SMK ANDERSON 2,4.60420905,101.08826280,
SMKA2_F103,F103,SMK ANDERSON 2,4.60420905,101.08826280,
SMKA2_F103R,F103R,SMK ANDERSON 2,4.60420905,101.08826280,
SMKJLNPSIR_T35,T35,SMK JALAN PASIR PUTEH,4.57963255,101.08201196,
SMKJLNPSIR_T35R,T35R,SMK JALAN PASIR PUTEH,4.57963255,101.08201195,
SMKKAMPAR_69,69,SMK KAMPAR,4.32738100,101.15461200,
SMKKAMPAR_69R,69R,SMK KAMPAR,4.32738100,101.15461200,
SMKKAMPAR_70,70,SMK KAMPAR,4.32738100,101.15461200,
SMKKAMPAR_70R,70R,SMK KAMPAR,4.32738100,101.15461200,
SMKKAMPAR_66,66,SMK KAMPAR,4.32738100,101.15461200,
SMKKAMPAR_66R,66R,SMK KAMPAR,4.32738100,101.15461200,
SMKKAMPAR_T34,T34,SMK KAMPAR,4.32738100,101.15461200,
SMKKAMPAR_T34R,T34R,SMK KAMPAR,4.32738100,101.15461200,
SMKPINJI_T35R,T35R,SMK PINJI,4.56553611,101.07915923,
SMKPINJI_T35,T35,SMK PINJI,4.56553611,101.07915923,
SMKSA_T37,T37,SMK SERI AMPANG,4.57693293,101.12573862,
SMKSA_T37R,T37R,SMK SERI AMPANG,4.57693293,101.12573862,
SMKSULTNYF_T36,T36,SMK SULTAN YUSUF,4.48458429,101.03418946,
SMKSULTNYF_T36R,T36R,SMK SULTAN YUSUF,4.48458429,101.03418946,
SMKTGR_T33A,T33A,SMK TANJONG RAMBUTAN,4.68574906,101.15983352,
SMKTGR_T33AR,T33AR,SMK TANJONG RAMBUTAN,4.68571030,101.15990996,
SMPGPSRPTH_T35,T35,SIMPANG PASIR PUTEH,4.58735923,101.08268651,
SMPGPSRPTH_T35R,T35R,SIMPANG PASIR PUTEH,4.58735923,101.08268650,
SMPGPSRPTH_T37,T37,SIMPANG PASIR PUTEH,4.58735923,101.08268650,
SMPGPSRPTH_T37R,T37R,SIMPANG PASIR PUTEH,4.58735923,101.08268650,
SMSJ_T37,T37,SM SHEN JAI,4.54852036,101.11323997,
SMSJ_T37R,T37R,SM SHEN JAI,4.54852036,101.11323996,
SMSTM_T32R,T32R,SM ST MICHAEL,4.60004898,101.07675075,
SMSTM_T35,T35,SM ST MICHAEL,4.60004898,101.07675076,
SMSTM_T35R,T35R,SM ST MICHAEL,4.60004898,101.07675076,
SMSTM_T33A,T33A,SM ST MICHAEL,4.60004898,101.07675076,
SMSTM_T33AR,T33AR,SM ST MICHAEL,4.60004898,101.07675076,
SMSTM_T33B,T33B,SM ST MICHAEL,4.60004898,101.07675076,
SMSTM_T33BR,T33BR,SM ST MICHAEL,4.60004898,101.07675076,
SMSTM_T37,T37,SM ST MICHAEL,4.60004898,101.07675076,
SMSTM_T37R,T37R,SM ST MICHAEL,4.60004898,101.07675076,
SMSTM_T32,T32,SM ST MICHAEL,4.60004898,101.07675076,
SNHGPSRPTH_T35,T35,SEN HENG JALAN PASIR PUTEH,4.57621639,101.08093500,
SNHGPSRPTH_T35R,T35R,SEN HENG JALAN PASIR PUTEH,4.57621639,101.08093500,
SNP1_F101A,F101A,STADIUM  NEGERI PERAK 1,4.61151316,101.10299349,
