stop_id,stop_code,stop_name,stop_lat,stop_lon,parent_station
SMKDMYSF_SMKDMYSFR,SMKDMYSFR,SMK DATUK MUHAMMAD YUSOF,2.49502865,102.00415026,
GMTKMG_GMTKMG,GMTKMG,GIAT MARA TELUK KEMANG,2.49354083,102.00495082,
GMTKMG_GMTKMGR,GMTKMGR,GIAT MARA TELUK KEMANG,2.49354083,102.00495082,
BRKLGGI_BRKLGGI,BRKLGGI,BALAI RAYA KAMPUNG LINGGI,2.49044749,102.00778781,
BRKLGGI_BRKLGGIR,BRKLGGIR,BALAI RAYA KAMPUNG LINGGI,2.49044749,102.00778781,
PPMLGGI_PPMLGGI,PPMLGGI,PEJABAT PENGHULU MUKIM LINGGI,2.48929549,102.00866998,
PPMLGGI_PPMLGGIR,PPMLGGIR,PEJABAT PENGHULU MUKIM LINGGI,2.48929549,102.00866998,
BPLGGI_BPLGGI,BPLGGI,BALAI POLIS LINGGI,2.48660975,102.01033311,
BPLGGI_BPLGGIR,BPLGGIR,BALAI POLIS LINGGI,2.48660975,102.01033311,
PKNLGGI_PKNLGGI,PKNLGGI,PEKAN LINGGI,2.48412079,102.01142039,
PKNLGGI_PKNLGGIR,PKNLGGIR,PEKAN LINGGI,2.48412079,102.01142039,
GTENTEN_GTENTEN,GTENTEN,GEDUNG TEN TEN,2.52573098,101.80000485,
GTENTEN_GTENTENR,GTENTENR,GEDUNG TEN TEN,2.52573098,101.80000484,
SPGPDWF_SPGPDWF,SPGPDWF,SIMPANG PD WATERFRONT,2.52606902,101.80207028,
SPGPDWF_SPGPDWFR,SPGPDWFR,SIMPANG PD WATERFRONT,2.52606902,101.80207028,
MJPD_MJPD,MJPD,MASJID JAMEK PD,2.52560395,101.80528295,
MJPD_MJPDR,MJPDR,MASJID JAMEK PD,2.52560395,101.80528295,
MJPD_T300,T300,MASJID JAMEK PD,2.52560395,101.80528295,
KPPD_KPPD,KPPD,KOMPLEKS PENTADBIRAN PD,2.52520549,101.80727838,
KPPD_KPPDR,KPPDR,KOMPLEKS PENTADBIRAN PD,2.52520549,101.80727838,
KPPD_T300N,T300N,KOMPLEKS PENTADBIRAN PD,2.52520549,101.80727838,
MRPD_MRPD,MRPD,MAHKAMAH RENDAH PD,2.52555113,101.81169410,
MRPD_MRPDR,MRPDR,MAHKAMAH RENDAH PD,2.52550737,101.81122718,
PEJTNBPD_PEJTNBPD,PEJTNBPD,PEJABAT TNB,2.52390687,101.81623686,
PEJTNBPD_PEJTNBPDR,PEJTNBPDR,PEJABAT TNB,2.52390687,101.81623686,
TMNTJ_TMNTJ1,TMNTJ1,TAMAN TASIK JAYA 1,2.71199290,101.99615300,
TMNTJ_TMNTJ1R,TMNTJ1R,TAMAN TASIK JAYA 1,2.71199290,101.99615299,
TMNTJ_TMNTJ2,TMNTJ2,TAMAN TASIK JAYA 1,2.71826222,101.99477971,
TMNTJ_TMNTJ2R,TMNTJ2R,TAMAN TASIK JAYA 1,2.71826222,101.99477970,
PWRA_TMPRAR,TMPRAR,TMN PERWIRA,2.73663597,101.97093487,
PWRA_PWRA,PWRA,TMN PERWIRA,2.74262118,101.97194874,
PWRA_PWRAR,PWRAR,TMN PERWIRA,2.74262118,101.97194874,
