trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
214_0_WE_5,10:36:00,10:36:10,6597,7,0
214_0_WE_5,10:37:00,10:37:10,6598,8,0
214_0_WE_5,10:38:00,10:38:10,6779,9,0
214_0_WE_5,10:39:00,10:39:10,6780,10,0
214_0_WE_5,10:40:00,10:40:10,6781,11,0
214_0_WE_5,10:41:00,10:41:10,6782,12,0
214_0_WE_5,10:43:00,10:43:10,6783,13,0
214_0_WE_5,10:44:00,10:44:10,6784,14,0
214_0_WE_5,10:51:00,10:51:10,6605,15,0
214_0_WE_5,10:52:00,10:52:10,6606,16,0
214_0_WE_5,10:53:00,10:53:10,6607,17,0
214_0_WE_5,10:55:00,10:55:10,6608,18,0
214_0_WE_5,11:02:00,11:02:10,6610,19,0
214_0_WE_5,11:04:00,11:04:10,6611,20,0
214_0_WE_5,11:05:00,11:05:10,6790,21,0
214_0_WE_5,11:06:00,11:06:10,6791,22,0
214_0_WE_5,11:07:00,11:07:10,6792,23,0
214_0_WE_5,11:08:00,11:08:10,6793,24,0
214_0_WE_5,11:10:00,11:10:10,6794,25,0
214_0_WE_5,11:11:00,11:11:10,6795,26,0
214_0_WE_6,11:30:00,11:30:10,6973,1,0
214_0_WE_6,11:31:00,11:31:10,6591,2,0
214_0_WE_6,11:32:00,11:32:10,6592,3,0
214_0_WE_6,11:33:00,11:33:10,6593,4,0
214_0_WE_6,11:34:00,11:34:10,6595,5,0
214_0_WE_6,11:35:00,11:35:10,6596,6,0
214_0_WE_6,11:36:00,11:36:10,6597,7,0
214_0_WE_6,11:37:00,11:37:10,6598,8,0
214_0_WE_6,11:38:00,11:38:10,6779,9,0
214_0_WE_6,11:39:00,11:39:10,6780,10,0
214_0_WE_6,11:40:00,11:40:10,6781,11,0
214_0_WE_6,11:41:00,11:41:10,6782,12,0
214_0_WE_6,11:43:00,11:43:10,6783,13,0
214_0_WE_6,11:44:00,11:44:10,6784,14,0
214_0_WE_6,11:51:00,11:51:10,6605,15,0
214_0_WE_6,11:52:00,11:52:10,6606,16,0
214_0_WE_6,11:53:00,11:53:10,6607,17,0
214_0_WE_6,11:55:00,11:55:10,6608,18,0
214_0_WE_6,12:02:00,12:02:10,6610,19,0
214_0_WE_6,12:04:00,12:04:10,6611,20,0
214_0_WE_6,12:05:00,12:05:10,6790,21,0
214_0_WE_6,12:06:00,12:06:10,6791,22,0
214_0_WE_6,12:07:00,12:07:10,6792,23,0
214_0_WE_6,12:08:00,12:08:10,6793,24,0
214_0_WE_6,12:10:00,12:10:10,6794,25,0
214_0_WE_6,12:11:00,12:11:10,6795,26,0
214_0_WE_7,12:30:00,12:30:10,6973,1,0
214_0_WE_7,12:31:00,12:31:10,6591,2,0
214_0_WE_7,12:32:00,12:32:10,6592,3,0
214_0_WE_7,12:33:00,12:33:10,6593,4,0
214_0_WE_7,12:34:00,12:34:10,6595,5,0
214_0_WE_7,12:35:00,12:35:10,6596,6,0
214_0_WE_7,12:36:00,12:36:10,6597,7,0
214_0_WE_7,12:37:00,12:37:10,6598,8,0
214_0_WE_7,12:38:00,12:38:10,6779,9,0
214_0_WE_7,12:39:00,12:39:10,6780,10,0
214_0_WE_7,12:40:00,12:40:10,6781,11,0
214_0_WE_7,12:41:00,12:41:10,6782,12,0
214_0_WE_7,12:43:00,12:43:10,6783,13,0
214_0_WE_7,12:44:00,12:44:10,6784,14,0
214_0_WE_7,12:51:00,12:51:10,6605,15,0
214_0_WE_7,12:52:00,12:52:10,6606,16,0
214_0_WE_7,12:53:00,12:53:10,6607,17,0
214_0_WE_7,12:55:00,12:55:10,6608,18,0
214_0_WE_7,13:02:00,13:02:10,6610,19,0
214_0_WE_7,13:04:00,13:04:10,6611,20,0
